"Plot Title: Four Mile Brook"
"#","Date Time, GMT-05:00","Temp, °C","Coupler Detached","End Of File"
137,03/20/16 03:30:00 PM,3.643,,
138,03/20/16 03:30:00 PM,3.670,,
139,03/20/16 03:30:00 PM,3.775,,
140,03/20/16 03:30:00 PM,3.985,,
141,03/20/16 03:30:00 PM,4.272,,
142,03/20/16 03:30:00 PM,4.688,,
143,03/20/16 03:30:00 PM,5.128,,
144,03/20/16 03:30:00 PM,5.565,,
145,03/20/16 03:30:00 PM,5.796,,
146,03/20/16 03:30:00 PM,5.872,,
147,03/20/16 03:30:00 PM,5.745,,
148,03/20/16 03:30:00 PM,5.514,,
149,03/20/16 03:30:00 PM,5.282,,
150,03/20/16 03:30:00 PM,5.050,,
151,03/20/16 03:30:00 PM,4.818,,
152,03/20/16 03:30:00 PM,4.636,,
153,03/20/16 03:30:00 PM,4.532,,
154,03/20/16 03:30:00 PM,4.428,,
155,03/20/16 03:30:00 PM,4.298,,
156,03/20/16 03:30:00 PM,4.220,,
157,03/20/16 03:30:00 PM,4.168,,
158,03/20/16 03:30:00 PM,4.141,,
159,03/20/16 03:30:00 PM,4.141,,
160,03/20/16 03:30:00 PM,4.115,,
161,03/20/16 03:30:00 PM,4.115,,
162,03/20/16 03:30:00 PM,4.141,,
163,03/20/16 03:30:00 PM,4.194,,
164,03/20/16 03:30:00 PM,4.298,,
165,03/20/16 03:30:00 PM,4.506,,
166,03/20/16 03:30:00 PM,4.844,,
167,03/20/16 03:30:00 PM,5.231,,
168,03/20/16 03:30:00 PM,5.693,,
169,03/20/16 03:30:00 PM,5.949,,
170,03/20/16 03:30:00 PM,6.102,,
171,03/20/16 03:30:00 PM,6.051,,
172,03/20/16 03:30:00 PM,5.847,,
173,03/20/16 03:30:00 PM,5.668,,
174,03/20/16 03:30:00 PM,5.462,,
175,03/20/16 03:30:00 PM,5.282,,
176,03/20/16 03:30:00 PM,5.128,,
177,03/20/16 03:30:00 PM,5.024,,
178,03/20/16 03:30:00 PM,4.947,,
179,03/20/16 03:30:00 PM,4.947,,
180,03/20/16 03:30:00 PM,4.921,,
181,03/20/16 03:30:00 PM,4.895,,
182,03/20/16 03:30:00 PM,4.844,,
183,03/20/16 03:30:00 PM,4.792,,
184,03/20/16 03:30:00 PM,4.740,,
185,03/20/16 03:30:00 PM,4.688,,
186,03/20/16 03:30:00 PM,4.688,,
187,03/20/16 03:30:00 PM,4.688,,
188,03/20/16 03:30:00 PM,4.662,,
189,03/20/16 03:30:00 PM,4.688,,
