"","Stream","Location","Season","Month","Year","DayOfYear","Date","Addition","MeanTemp","MaximumTemp","MinimumTemp","Difference","DOY"
"53","Burying Ground","Below Webber Road",1,"01","2015",22,2015-01-22,730,0.725166666666667,1.344,0.135,1.209,752
"54","Burying Ground","Below Webber Road",1,"01","2015",23,2015-01-23,730,0.4038125,0.934,-0.116,1.05,753
"55","Burying Ground","Below Webber Road",1,"01","2015",24,2015-01-24,730,0.878375,1.317,0.605,0.712,754
"56","Burying Ground","Below Webber Road",1,"01","2015",25,2015-01-25,730,1.04822916666667,1.317,0.246,1.071,755
"57","Burying Ground","Below Webber Road",1,"01","2015",26,2015-01-26,730,-0.0670625,0.163,-0.116,0.279,756
"58","Burying Ground","Below Webber Road",1,"01","2015",27,2015-01-27,730,-0.07575,-0.06,-0.088,0.028,757
"59","Burying Ground","Below Webber Road",1,"01","2015",28,2015-01-28,730,0.00620833333333333,0.135,-0.06,0.195,758
"60","Burying Ground","Below Webber Road",1,"01","2015",29,2015-01-29,730,0.0206666666666667,0.329,-0.06,0.389,759
"61","Burying Ground","Below Webber Road",1,"01","2015",30,2015-01-30,730,0.6354375,0.907,0.356,0.551,760
"62","Burying Ground","Below Webber Road",1,"01","2015",31,2015-01-31,730,0.0111875,0.55,-0.088,0.638,761
"63","Burying Ground","Below Webber Road",1,"01","2016",1,2016-01-01,1095,4.00997916666667,4.272,3.485,0.787,1096
"64","Burying Ground","Below Webber Road",1,"01","2016",2,2016-01-02,1095,3.39172916666667,3.67,3.063,0.607,1097
"65","Burying Ground","Below Webber Road",1,"01","2016",3,2016-01-03,1095,3.54504166666667,3.958,2.956,1.002,1098
"66","Burying Ground","Below Webber Road",1,"01","2016",4,2016-01-04,1095,2.12916666666667,3.696,-0.06,3.756,1099
"67","Burying Ground","Below Webber Road",1,"01","2016",5,2016-01-05,1095,-0.00960416666666666,0.135,-0.088,0.223,1100
"68","Burying Ground","Below Webber Road",1,"01","2016",6,2016-01-06,1095,0.3539375,1.071,-0.088,1.159,1101
"69","Burying Ground","Below Webber Road",1,"01","2016",7,2016-01-07,1095,1.11741666666667,1.832,0.467,1.365,1102
"70","Burying Ground","Below Webber Road",1,"01","2016",8,2016-01-08,1095,1.921,2.664,1.235,1.429,1103
"71","Burying Ground","Below Webber Road",1,"01","2016",9,2016-01-09,1095,3.07008333333333,3.591,2.69,0.901,1104
"72","Burying Ground","Below Webber Road",1,"01","2016",10,2016-01-10,1095,2.4205,3.195,1.153,2.042,1105
"73","Burying Ground","Below Webber Road",1,"01","2016",11,2016-01-11,1095,1.82352083333333,2.423,1.126,1.297,1106
"74","Burying Ground","Below Webber Road",1,"01","2016",12,2016-01-12,1095,1.310125,1.994,0.77,1.224,1107
"75","Burying Ground","Below Webber Road",1,"01","2016",13,2016-01-13,1095,0.827416666666667,1.643,0.467,1.176,1108
"76","Burying Ground","Below Webber Road",1,"01","2016",14,2016-01-14,1095,0.813333333333333,1.398,0.356,1.042,1109
"77","Burying Ground","Below Webber Road",1,"01","2016",15,2016-01-15,1095,1.98302083333333,2.744,1.153,1.591,1110
"78","Burying Ground","Below Webber Road",1,"01","2016",16,2016-01-16,1095,2.55875,2.77,2.021,0.749,1111
"79","Burying Ground","Below Webber Road",1,"01","2016",17,2016-01-17,1095,2.55439583333333,2.797,2.262,0.535,1112
"80","Burying Ground","Below Webber Road",1,"01","2016",18,2016-01-18,1095,0.943770833333333,2.209,-0.088,2.297,1113
"81","Burying Ground","Below Webber Road",1,"01","2016",19,2016-01-19,1095,-0.07575,-0.004,-0.116,0.112,1114
"82","Burying Ground","Below Webber Road",1,"01","2016",20,2016-01-20,1095,0.173833333333333,0.632,-0.088,0.72,1115
"83","Burying Ground","Below Webber Road",1,"01","2016",21,2016-01-21,1095,0.591875,0.852,0.273,0.579,1116
"84","Burying Ground","Below Webber Road",1,"01","2016",22,2016-01-22,1095,0.332666666666667,0.88,-0.088,0.968,1117
"85","Burying Ground","Below Webber Road",1,"01","2016",23,2016-01-23,1095,0.5866875,0.852,0.356,0.496,1118
"86","Burying Ground","Below Webber Road",1,"01","2016",24,2016-01-24,1095,0.594520833333333,1.262,-0.032,1.294,1119
"87","Burying Ground","Below Webber Road",1,"01","2016",25,2016-01-25,1095,1.1785,1.778,0.522,1.256,1120
"88","Burying Ground","Below Webber Road",1,"01","2016",26,2016-01-26,1095,1.83316666666667,2.53,1.235,1.295,1121
"89","Burying Ground","Below Webber Road",1,"01","2016",27,2016-01-27,1095,2.34889583333333,2.85,1.615,1.235,1122
"90","Burying Ground","Below Webber Road",1,"01","2016",28,2016-01-28,1095,1.38358333333333,2.128,0.55,1.578,1123
"91","Burying Ground","Below Webber Road",1,"01","2016",29,2016-01-29,1095,2.02120833333333,2.744,1.425,1.319,1124
"92","Burying Ground","Below Webber Road",1,"01","2016",30,2016-01-30,1095,1.33816666666667,2.101,0.577,1.524,1125
"93","Burying Ground","Below Webber Road",1,"01","2016",31,2016-01-31,1095,2.42408333333333,3.248,1.832,1.416,1126
"94","Burying Ground","Below Webber Road",1,"02","2014",32,2014-02-01,365,0.0991458333333333,0.467,-0.088,0.555,397
"95","Burying Ground","Below Webber Road",1,"02","2014",33,2014-02-02,365,0.7553125,1.017,0.467,0.55,398
"96","Burying Ground","Below Webber Road",1,"02","2014",34,2014-02-03,365,1.01377083333333,1.099,0.907,0.192,399
"97","Burying Ground","Below Webber Road",1,"02","2014",35,2014-02-04,365,0.885083333333333,0.989,0.742,0.247,400
"98","Burying Ground","Below Webber Road",1,"02","2014",36,2014-02-05,365,0.587854166666667,0.989,0.246,0.743,401
"99","Burying Ground","Below Webber Road",1,"02","2014",37,2014-02-06,365,0.422645833333333,0.522,0.301,0.221,402
"100","Burying Ground","Below Webber Road",1,"02","2014",38,2014-02-07,365,0.338541666666667,0.495,0.246,0.249,403
"101","Burying Ground","Below Webber Road",1,"02","2014",39,2014-02-08,365,0.310291666666667,0.412,0.218,0.194,404
"102","Burying Ground","Below Webber Road",1,"02","2014",40,2014-02-09,365,0.467479166666667,0.632,0.412,0.22,405
"103","Burying Ground","Below Webber Road",1,"02","2014",41,2014-02-10,365,0.517520833333333,0.632,0.412,0.22,406
"104","Burying Ground","Below Webber Road",1,"02","2014",42,2014-02-11,365,0.237479166666667,0.412,0.19,0.222,407
"105","Burying Ground","Below Webber Road",1,"02","2014",43,2014-02-12,365,0.127958333333333,0.19,0.107,0.083,408
"106","Burying Ground","Below Webber Road",1,"02","2014",44,2014-02-13,365,0.136166666666667,0.163,0.107,0.056,409
"107","Burying Ground","Below Webber Road",1,"02","2014",45,2014-02-14,365,0.181729166666667,0.246,0.107,0.139,410
"108","Burying Ground","Below Webber Road",1,"02","2014",46,2014-02-15,365,0.35575,0.495,0.246,0.249,411
"109","Burying Ground","Below Webber Road",1,"02","2014",47,2014-02-16,365,0.515375,0.577,0.467,0.11,412
"110","Burying Ground","Below Webber Road",1,"02","2014",48,2014-02-17,365,0.4069375,0.522,0.356,0.166,413
"111","Burying Ground","Below Webber Road",1,"02","2014",49,2014-02-18,365,0.32175,0.384,0.301,0.083,414
"112","Burying Ground","Below Webber Road",1,"02","2014",50,2014-02-19,365,0.374916666666667,0.439,0.301,0.138,415
"113","Burying Ground","Below Webber Road",1,"02","2014",51,2014-02-20,365,0.521916666666667,0.687,-0.032,0.719,416
"114","Burying Ground","Below Webber Road",1,"02","2014",52,2014-02-21,365,0.00722916666666667,0.301,-0.088,0.389,417
"115","Burying Ground","Below Webber Road",1,"02","2014",53,2014-02-22,365,0.783708333333333,1.071,0.19,0.881,418
"116","Burying Ground","Below Webber Road",1,"02","2014",54,2014-02-23,365,1.06129166666667,1.289,0.907,0.382,419
"117","Burying Ground","Below Webber Road",1,"02","2014",55,2014-02-24,365,0.873083333333333,1.126,0.467,0.659,420
"118","Burying Ground","Below Webber Road",1,"02","2014",56,2014-02-25,365,0.289583333333333,0.412,0.218,0.194,421
"119","Burying Ground","Below Webber Road",1,"02","2014",57,2014-02-26,365,0.190395833333333,0.273,0.135,0.138,422
"120","Burying Ground","Below Webber Road",1,"02","2014",58,2014-02-27,365,0.128,0.163,0.107,0.056,423
"121","Burying Ground","Below Webber Road",1,"02","2014",59,2014-02-28,365,0.0988333333333333,0.135,0.079,0.056,424
"122","Burying Ground","Below Webber Road",1,"02","2015",32,2015-02-01,730,-0.04075,0.024,-0.088,0.112,762
"123","Burying Ground","Below Webber Road",1,"02","2015",33,2015-02-02,730,-0.05125,-0.032,-0.088,0.056,763
"124","Burying Ground","Below Webber Road",1,"02","2015",34,2015-02-03,730,0.00179166666666667,0.051,-0.032,0.083,764
"125","Burying Ground","Below Webber Road",1,"02","2015",35,2015-02-04,730,0.1335,0.384,-0.004,0.388,765
"126","Burying Ground","Below Webber Road",1,"02","2015",36,2015-02-05,730,0.445020833333333,0.605,0.107,0.498,766
"127","Burying Ground","Below Webber Road",1,"02","2015",37,2015-02-06,730,0.00558333333333333,0.079,-0.088,0.167,767
"128","Burying Ground","Below Webber Road",1,"02","2015",38,2015-02-07,730,0.130708333333333,0.329,-0.004,0.333,768
"129","Burying Ground","Below Webber Road",1,"02","2015",39,2015-02-08,730,0.348104166666667,0.522,0.024,0.498,769
"130","Burying Ground","Below Webber Road",1,"02","2015",40,2015-02-09,730,-0.046,0.024,-0.088,0.112,770
"131","Burying Ground","Below Webber Road",1,"02","2015",41,2015-02-10,730,0.153145833333333,0.412,-0.032,0.444,771
"132","Burying Ground","Below Webber Road",1,"02","2015",42,2015-02-11,730,0.203416666666667,0.356,0.051,0.305,772
"133","Burying Ground","Below Webber Road",1,"02","2015",43,2015-02-12,730,0.2298125,0.467,0.024,0.443,773
"134","Burying Ground","Below Webber Road",1,"02","2015",44,2015-02-13,730,0.007375,0.301,-0.06,0.361,774
"135","Burying Ground","Below Webber Road",1,"02","2015",45,2015-02-14,730,-0.0150833333333333,0.024,-0.032,0.056,775
"136","Burying Ground","Below Webber Road",1,"02","2015",46,2015-02-15,730,0.00883333333333333,0.024,-0.004,0.028,776
"137","Burying Ground","Below Webber Road",1,"02","2015",47,2015-02-16,730,0.00183333333333333,0.024,-0.032,0.056,777
"138","Burying Ground","Below Webber Road",1,"02","2015",48,2015-02-17,730,0.0397916666666667,0.079,0.024,0.055,778
"139","Burying Ground","Below Webber Road",1,"02","2015",49,2015-02-18,730,0.050875,0.107,0.024,0.083,779
"140","Burying Ground","Below Webber Road",1,"02","2015",50,2015-02-19,730,0.0705,0.135,-0.004,0.139,780
